run,generate/count/samples,generate/candidate_count/eligible_total,generate/candidate_count/protected_total
exp-baseline-default,,,
exp-baseline-large-max-tokens,,,
exp-baseline-large-seq-len,,,
exp-baseline-p0125-all-default,,,
exp-baseline-p0125-all-large-max-tokens,,,
exp-baseline-p0125-all-large-seq-len,,,
exp-baseline-p025-default,,,
exp-baseline-p025-large-max-tokens,,,
exp-baseline-p025-large-seq-len,,,
exp-baseline-projkv,,,
exp-ema-beta0.5,50.0,450.0,0.0
exp-ema-beta0.99,50.0,450.0,0.0
exp-ema-default,50.0,450.0,0.0
exp-ema-large-max-tokens,50.0,450.0,0.0
exp-ema-large-seq-len,20.0,180.0,0.0
exp-ema-projkv,50.0,450.0,0.0
exp-ema-ratio0.2,50.0,300.0,0.0
exp-ema-ratio0.4,50.0,600.0,0.0
exp-ema-ratio0.5,50.0,800.0,0.0
exp-full-default,,,
exp-full-large-max-tokens,,,
exp-full-large-seq-len,,,
exp-mlp-aligner-default,,,
exp-per-layer-mlp-default,,,
exp-residual-mlp-aligner-default,,,
exp-residual-per-layer-mlp-default,,,
